venue_id,partner_id,name,address,city,neighborhood,latitude,longitude,hours,hours_note,status,coordinate_source
062ce6b7-f9df-5c53-b7b0-de16fcc22eb8,b7a5c65e-0674-54c8-9e2f-c17fe6402861,Panther Coffee - Wynwood,"2390 NW 2nd Ave, Miami, FL 33127",Miami,Wynwood,25.79994,-80.199245,,,active,workbook
4a76b5e7-7fc8-5485-90c4-403a796770c7,17fd3975-dc00-523d-be6e-6eee84d5714d,Vice City Bean,"1657 N Miami Ave, Unit C, Miami, FL 33136",Miami,Edgewater,25.791406,-80.194302,,,active,workbook
1540d4fd-088d-5194-9463-47458122fca4,ec81a30a-4798-5e3f-ab15-130b8a9504d3,The Salty Donut - Wynwood,"50 NW 24th St, Unit 106, Miami, FL 33127",Miami,Wynwood,25.7994517,-80.1960754,,,active,workbook
88f4b8a6-e1c4-5417-97fb-a8511c54319f,38947068-093a-5074-8308-fb73e9368cb7,Threefold Cafe,"141 Giralda Ave, Coral Gables, FL 33134",Coral Gables,Coral Gables,25.7514197,-80.257631,,,active,"geocoded (high, structured_address)"
628b1edc-8119-5196-9d22-4465d7b944c6,f1b3973c-4035-58cb-a3b2-6a1326842801,Imperial Moto Cafe - Little River,"7299 NW 2nd Ave, Miami, FL 33150",Miami,Little River,25.8421983,-80.2005557,,,active,"geocoded (high, structured_address)"
3d6e479e-6ef9-5cfd-bbc8-021de95e8ff5,2f64ad78-af59-54c1-897e-9ae076b0fbeb,Brewing Buddha Cafe & Arthouse,"8219 SW 124th St, Pinecrest, FL 33156",Pinecrest,Pinecrest,25.6554818,-80.3268453,,,active,"geocoded (high, structured_address)"
8b802b8f-454c-59e7-8397-8e52b8028121,8b5e8dfd-4d3a-5e78-b0db-a018c6ba2068,Sweat Records,"5505 NE 2nd Ave, Miami, FL 33137",Miami,Little Haiti / Little River,25.8263434,-80.1917894,,,active,workbook
3a4cc420-5ef9-5972-87f2-0b19eb5bea6b,410e40e4-eaec-57a2-948f-5a54e18284f0,Books & Books - Coral Gables,"265 Aragon Ave, Coral Gables, FL 33134",Coral Gables,Coral Gables,25.7506451,-80.2600624,,,active,workbook
7a0964cc-7ec6-5a79-b2e8-45474df501c2,013760c2-e7bc-5bc6-8226-a0887e82c453,Rosetta Bakery - South Beach,"1666 Collins Ave, Miami Beach, FL 33139",Miami Beach,South Beach,25.7914055,-80.1300535,,,active,"geocoded (high, structured_address)"
61027ac0-fb14-523b-8d20-8443f246e97d,fed2dca2-9985-578d-bbda-5e2c59018af9,Under the Mango Tree,"737 5th St, Miami Beach, FL 33139",Miami Beach,South Beach (South of Fifth),25.7747548,-80.1358438,,,active,workbook
f297d4f8-9526-5c0d-9c43-c3dba53079a4,34dbd889-65bc-584c-84e8-4ccd262de7da,Dasher & Crank,"2211 NW 2nd Ave, Miami, FL 33127",Miami,Wynwood,25.7982083,-80.1990834,,,active,"geocoded (high, structured_address)"
ce80b621-f3a6-5010-86f2-5e110dd54c14,63bbc92f-9faa-55d5-b68a-0ac653f0ad1c,Midorie Miami,"3444 Main Hwy, Miami, FL 33133",Miami,Coconut Grove,25.727493,-80.243396,,,active,"geocoded (high, structured_address)"
89561c5f-7ce2-5d91-8999-50cc258c7d08,042a4a79-469b-55b5-b06a-ec5d012aa167,The Corner,"1035 N Miami Ave #101, Miami, FL 33136",Miami,Downtown Miami / Park West,25.784656,-80.193897,,,active,"geocoded (medium, place_name)"
97c2c829-1eba-53c0-84e4-f02dfd40ef40,a29163be-6b51-5842-9d44-b0d0deb646f6,Miam Café - Wynwood,"2750 NW 3rd Ave, Miami, FL 33127",Miami,Wynwood,25.802408,-80.2016552,,,active,"geocoded (high, structured_address)"
bc413e35-329b-5329-ad1e-f2a22d5cf2e4,6c739246-f141-592a-b037-fa7e59f617cc,El Carajo,"2465 SW 17th Ave, Miami, FL 33145",Miami,Coral Way,25.7461508,-80.221873,,,active,"geocoded (high, structured_address)"
e18a2c1e-1f8a-5d9d-99ff-0484a375fa60,0c17f4b2-fe1e-5e95-8790-628c66f31a5a,Pasión del Cielo Coffee - Brickell,"907 Brickell Ave, Miami, FL 33131",Miami,Brickell,25.7651768,-80.1908292,,,active,"geocoded (high, structured_address)"
fbca77fb-abae-5c1a-9a15-2ccaa331a278,94351bfa-6108-526e-afc3-cdf02a54a8a2,Wynwood Walls,"2516 NW 2nd Ave, Miami, FL 33127",Miami,Wynwood,25.801018,-80.199493,10:30 AM – 6:30 PM,Daily · timed entry tickets,active,workbook
be92a4e5-2635-5364-8ada-a5e99d0fdd0a,499e378f-6144-5a1a-878d-b9c8193b3544,Pérez Art Museum Miami,"1103 Biscayne Blvd, Miami, FL 33132",Miami,Downtown Miami,25.7859809,-80.1862693,,,active,workbook
defa0c13-d01c-5168-95ff-c256afb9a06b,df3058d3-c3a4-5322-bdf2-2c5ed6bb64f8,"Institute of Contemporary Art, Miami","61 NE 41st St, Miami, FL 33137",Miami,Design District,25.8143585,-80.1942981,,,active,"geocoded (high, structured_address)"
421f85f6-07e7-5392-8ef6-ded4d17e1021,617044a3-282a-5211-bf44-49065ab56969,Bachour Coral Gables,"2020 Salzedo St, Coral Gables, FL 33134",Coral Gables,Coral Gables,25.7538553,-80.2611351,,,active,workbook
5cfc815f-9a61-529e-9c82-e27c7a4be290,5474f431-39f5-5368-ae3c-087317e8bafb,The Temple House,"1415 Euclid Ave, Miami Beach, FL 33139",Miami Beach,South Beach,25.785967,-80.134925,,,active,workbook
316c048c-ce1c-53a7-a3d3-59ccaa896e5e,856c13bf-067d-51ad-b3d0-90a47254fead,E11EVEN Miami,"29 NE 11th St, Miami, FL 33132",Miami,Downtown Miami,25.7849579,-80.1935969,Open 24 hours,21+ only,active,workbook
0f54cfae-e204-56cc-adbe-ce3ebbb828fc,7822bca9-8c50-549d-8a93-a8cee544a19d,"Sugar Rooftop at EAST, Miami","788 Brickell Plaza, Floor 40, Miami, FL 33131",Miami,Brickell,25.766606,-80.1928702,,,active,"geocoded (medium, place_name)"
11b2fa14-eb93-5809-b4ef-73be47f08d91,ab1faa46-f085-5e74-96b1-13091b98a1e6,Lagniappe,"3425 NE 2nd Ave, Miami, FL 33137",Miami,Midtown / Wynwood-Edgewater,25.8090466,-80.1910054,,,active,"geocoded (high, structured_address)"
0ec8d3e2-bb74-5eef-94f4-e6c6f6c6f9ea,7fe7ecdd-5738-50cf-b188-9dd31c746ba4,Dante's HiFi,"519 NW 26th St, Miami, FL 33127",Miami,Wynwood,25.8011178,-80.2037057,,,active,workbook
d3be2ff4-dd15-59a7-bae7-2d5e66849ce7,4419365c-e6be-59ab-b81a-8c46e679f909,Superblue Miami,"1101 NW 23rd St, Miami, FL 33127",Miami,Allapattah,25.7991925,-80.2138844,,,active,workbook
6eb2e4f0-ff69-5f26-8191-1bb8382cef34,f34c4834-f4f2-558a-b365-02eb6494393c,"The Standard Spa, Miami Beach","40 Island Ave, Miami Beach, FL 33139",Miami Beach,Belle Isle / South Beach,25.79175,-80.149086,,,active,workbook
42b31588-7629-5b8c-983b-3067c04f657f,8397b449-800f-5c57-b5b3-c492219c5e57,Komodo Miami,"801 Brickell Ave, Miami, FL 33131",Miami,Brickell,25.7656196,-80.1901639,,,active,workbook
cfb6485e-3772-5d94-82bc-64fa0865d54d,b7dec364-dff7-5da4-a66c-b8b127afe2dc,Joia Beach Restaurant and Beach Club,"1111 Parrot Jungle Trail, Miami, FL 33132",Miami,Watson Island,25.7861775,-80.1746936,,,active,"geocoded (high, structured_address)"
c30b0989-aeab-5535-bf9a-00f0f92d28c8,af6b0db8-0e00-5f33-8e85-870f037269a4,Sexy Fish Miami,"1001 S Miami Ave, Miami, FL 33130",Miami,Brickell,25.7643527,-80.1930513,,,active,"geocoded (high, structured_address)"
04a443e2-13f5-5c44-b438-41d6ca8d957c,b3e6fae9-38f7-52e0-a4c3-17d2e88ef2f9,The Bass,"2100 Collins Ave, Miami Beach, FL 33139",Miami Beach,South Beach,25.7973966,-80.1299536,,,active,workbook
e2f43f10-1882-5b1c-a43a-453ba03fcdc7,d7487d41-d93b-5ef5-ba8a-381866d6b5a0,Ball & Chain,"1513 SW 8th St, Miami, FL 33135",Miami,Little Havana,25.7658068,-80.2197761,,,active,workbook
